timestamp,symbol,side,qty,price,type,pnl,capital_after,reason
2025-07-02T10:15:00-04:00,TSLA,LONG_OPEN,120,312.065959,open,,12544.595377,KC_BREAKOUT+ML+VOL+MACD
2025-08-12T05:14:38.301986+00:00,TSLA,LONG_CLOSE,120,316.096736,close,476.106907,50468.617324,TAKE_PROFIT
